H	20240227 06:15:09	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	24 FEB 2024 13:09:18	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Prestige Voucher	0009342410Rn2324	1	120	382909342A	D2634	382909343A	2
D	24 FEB 2024 13:39:46	T0001	D2654	DIGITAL TELESALES (CHAT)	 	Singtel Red Voucher	0009948243tO2324	1	80	382912069A	D2567	382912076A	25
D	24 FEB 2024 15:35:23	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0009948252xQ2324	1	80	382923437A	D2634	382923438A	25
D	25 FEB 2024 23:17:46	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009328077wn2324	1	80	383107215A	D2623	383107216A	25
D	25 FEB 2024 23:42:27	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009948551lJ2324	1	80	383108041A	D2623	383108042A	25
D	25 FEB 2024 23:50:00	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009892511Ox2324	1	120	383108241A	INT1	383108242A	2
D	26 FEB 2024 00:52:57	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009139554kj2223	1	120	383118370A	INT1	383118371A	2
D	26 FEB 2024 00:52:57	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009340019qD2324	1	80	383118370A	INT1	383118371A	25
D	26 FEB 2024 01:07:57	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009542298qb2324	1	120	383122947A	INT1	383122948A	2
D	26 FEB 2024 01:07:57	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009935355xU2324	1	80	383122947A	INT1	383122948A	25
D	26 FEB 2024 08:58:01	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009950019lW2324	1	80	383173690A	D2623	383173692A	25
D	26 FEB 2024 09:40:39	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0009950012Zi2324	1	80	383178402A	D2634	383178404A	25
D	26 FEB 2024 10:21:54	T0001	D2592	DIGITAL TELESALES (ONLINE ASSISTED)	 	Singtel Red Voucher	0009950018pE2324	1	80	383182719A	D2567	383182720A	25
D	26 FEB 2024 10:34:05	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009906518AD2324	1	150	383183773A	INT1	383183774A	22
D	26 FEB 2024 10:37:34	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009177010lh2324	1	120	383184028A	INT1	383184029A	2
