H	20240731 06:09:45	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	27 JUL 2024 15:38:48	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173469Av2425	1	80	407109583A	D2561	407109584A	25
D	27 JUL 2024 21:05:40	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173476uy2425	1	80	407133521A	D2561	407133522A	25
D	29 JUL 2024 19:13:13	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173455IT2425	1	80	407420852A	D2561	407420855A	25
D	30 JUL 2024 10:07:56	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173429ts2425	1	80	407576653A	D2606	407576655A	25
D	30 JUL 2024 10:08:21	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010173431ZH2425	1	80	407576680A	D2634	407576682A	25
D	30 JUL 2024 10:51:22	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010173428nA2425	1	80	407585517A	D2634	407585518A	25
D	30 JUL 2024 11:00:45	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173432Bm2425	1	80	407587137A	D2623	407587139A	25
D	30 JUL 2024 11:02:10	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173433OU2425	1	80	407587516A	D2606	407587517A	25
D	30 JUL 2024 11:18:55	V1650	D1658	Polaris Telecom Pte Ltd @ NEX	1012657767	Singtel Voucher (Combo 12)	0009958993LO2425	1	500		D1658		21
D	30 JUL 2024 11:23:31	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173434Ky2425	1	80	407592057A	D2606	407592060A	25
D	30 JUL 2024 11:39:32	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12876541	Singtel Prestige Voucher	0009174658xb2324	1	120		D2531		2
D	30 JUL 2024 11:44:00	V6869	D6879	ERAJAYA @ PAYA LEBAR QUARTER	1012657784	Singtel Prestige Voucher	0009955746Df2324	1	120		D6879		2
D	30 JUL 2024 11:45:14	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12876549	Singtel Red Voucher	0010173435Qk2425	6	80	407593849A	D2531	407593850A	25
D	30 JUL 2024 11:47:06	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010029791vD2425	1	120	407595044A	INT1	407595045A	2
D	30 JUL 2024 11:47:48	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009545650dP2324	1	120	407595093A	INT1	407595094A	2
D	30 JUL 2024 11:51:21	T0001	D2512	Singtel Shop 313@somerset	 	Singtel Red Voucher	0010173437pV2425	1	80	407595550A	D2512	407595551A	25
D	30 JUL 2024 11:56:10	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010173439Dd2425	1	80	407595884A	D2634	407595885A	25
D	30 JUL 2024 12:11:21	V1650	D1679	Polaris Telecom Pte Ltd @ Heartland Mall (Pod  Contact)	1012657817	Singtel-UOB Voucher	0009960202iX2324	3	100	407596516A	D1679	407596517A	20
D	30 JUL 2024 12:14:08	T0001	D2512	Singtel Shop 313@somerset	12876579	Singtel Red Voucher	0010173440qe2425	2	80	407596805A	D2512	407596806A	25
D	30 JUL 2024 12:22:40	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173442yL2425	1	80	407598641A	D2606	407598644A	25
D	30 JUL 2024 12:28:29	V1638	D0689	Novel Communication @ Clementi Mall	1012657834	Singtel Red Voucher	0010173441yw2425	4	80	407598094A	D0689	407598095A	25
D	30 JUL 2024 12:28:46	T0001	D2506	Singtel Shop Causeway Point	12876594	Singtel Prestige Voucher	0010097909ly2425	3	120	407598529A	D2506	407598530A	2
D	30 JUL 2024 12:28:46	T0001	D2506	Singtel Shop Causeway Point	12876594	Singtel Red Voucher	0010125333pW2425	3	80	407598529A	D2506	407598530A	25
D	30 JUL 2024 12:33:18	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010030872Vo2425	1	120	407599903A	INT1	407599904A	2
D	30 JUL 2024 12:36:49	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0010173444xo2425	1	80	407600203A	D2634	407600204A	25
D	30 JUL 2024 12:40:00	V2456	D0556	Trends n Trendies Pte Ltd @ Chinatown Point	1012657848	Singtel Red Voucher	0010173445rb2425	2	80	407599786A	D0556	407599787A	25
D	30 JUL 2024 12:42:08	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173446aB2425	1	80	407600805A	D2616	407600806A	25
D	30 JUL 2024 12:50:55	V1638	D0808	Novel Communication @ North Point	1012657857	Singtel Red Voucher	0010173443fQ2425	6	80	407600333A	D0808	407600334A	25
D	30 JUL 2024 12:58:15	T0001	D2506	Singtel Shop Causeway Point	12876634	Singtel Prestige Voucher	0009954508AF2324	7	120	407600694A	D2506	407600695A	2
D	30 JUL 2024 13:17:32	T0001	D2643	Telecontinent Integrated	 	Singtel Prestige Voucher	0010002152AS2425	1	120	407604521A	D2643	407604522A	2
D	30 JUL 2024 13:18:58	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173449wh2425	1	80	407604739A	D2623	407604740A	25
D	30 JUL 2024 13:21:30	T0001	D2511	Singtel Shop Bugis Junction	12876663	Singtel Red Voucher	0010173450BN2425	6	80	407603354A	D2511	407603356A	25
D	30 JUL 2024 13:22:41	V1638	D0689	Novel Communication @ Clementi Mall	1012657886	Singtel Red Voucher	0010173451Zq2425	4	80	407604320A	D0689	407604321A	25
D	30 JUL 2024 13:25:20	V1650	D1680	Rigel Telecom Pte Ltd @ Bedok Mall	1012657889	Singtel Prestige Voucher	0009342487jb2324	6	170	407603587A	D1680	407603588A	2
D	30 JUL 2024 13:25:20	V1650	D1680	Rigel Telecom Pte Ltd @ Bedok Mall	1012657889	Singtel Voucher (Combo 12)	0009559134Nt2324	6	500	407603587A	D1680	407603588A	21
D	30 JUL 2024 13:32:29	T0001	D2511	Singtel Shop Bugis Junction	12876668	Singtel Red Voucher	0010173452zh2425	3	80	407605180A	D2511	407605181A	25
D	30 JUL 2024 13:35:57	V1638	D0666	Novel Communications @ Parkway Parade	1012657900	Singtel Red Voucher	0010145527fM2425	3	80	407604157A	D0666	407604158A	25
D	30 JUL 2024 13:45:53	V1650	D1688	Rigel Telecom Pte Ltd @ One Raffles Place	1012657906	Singtel Red Voucher	0010173453mb2425	1	80	407606764A	D1688	407606765A	25
D	30 JUL 2024 13:46:55	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010173454nn2425	1	80	407607754A	D2623	407607755A	25
D	30 JUL 2024 13:51:02	V2456	D0558	Trends n Trendies Pte Ltd @ West Gate	1012657915	Singtel Prestige Voucher	0009552167On2324	4	120	407605407A	D0558	407605408A	2
D	30 JUL 2024 13:57:24	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010096423wB2425	1	120	407608848A	INT1	407608849A	2
D	30 JUL 2024 14:02:35	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010173447Gu2425	1	80	407609356A	D2606	407609361A	25
