H	20240311 07:08:24	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	10 MAR 2024 02:02:21	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009344716oT2324	1	120	385093866A	INT1	385093867A	2
D	10 MAR 2024 03:09:01	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009945796gL2425	1	80	385104631A	INT1	385104632A	25
D	10 MAR 2024 09:38:22	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009905677Qs2324	1	150	385158084A	INT1	385158085A	22
D	10 MAR 2024 09:38:57	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009963428CG2324	1	80	385158110A	D2623	385158111A	25
D	10 MAR 2024 09:40:35	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Prestige Voucher	0009311151Tz2324	1	120	385158662A	D2623	385158663A	2
D	10 MAR 2024 09:40:35	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009968117Zy2324	1	80	385158662A	D2623	385158663A	25
D	10 MAR 2024 10:07:25	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009968119vZ2324	1	80	385161062A	D2623	385161063A	25
D	10 MAR 2024 10:57:35	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009968118Ia2324	1	80	385163672A	D2623	385163677A	25
D	10 MAR 2024 11:14:52	V2456	D0555	Trends n Trendies Pte Ltd @ IMM Building	1012526054	Singtel Red Voucher	0009962172Ey2324	4	80	385163700A	D0555	385163701A	25
D	10 MAR 2024 11:16:48	V1638	D0698	Novel Communication @ Lot 1  Shoppers Mall	1012526056	Singtel Red Voucher	0009117978an2324	3	80	385056188A	D0698	385056189A	25
D	10 MAR 2024 11:17:37	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12762619	Singtel Prestige Voucher	0009812668ZO2324	1	120	385164374A	D2531	385164375A	2
D	10 MAR 2024 11:17:37	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12762619	Singtel Red Voucher	0009968121ex2324	1	80	385164374A	D2531	385164375A	25
D	10 MAR 2024 11:26:14	T0001	D2533	Singtel Shop Jurong Point	12762624	Singtel Red Voucher	0009968124Bt2324	2	80	385164918A	D2533	385164919A	25
D	10 MAR 2024 11:26:28	T0001	D2511	Singtel Shop Bugis Junction	12762627	Singtel Prestige Voucher	0009178500Sp2324	2	120		D2511		2
D	10 MAR 2024 11:26:45	T0001	D2512	Singtel Shop 313@somerset	12762625	Singtel Prestige Voucher	0009307624xw2324	1	120	385165327A	D2512	385165328A	2
