H	20240903 06:14:01	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	01 SEP 2024 18:22:17	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010252880zt2425	1	80	413719375A	D2623	413719376A	25
D	02 SEP 2024 00:10:03	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010101333FP2425	1	170	413742248A	INT1	413742249A	2
D	02 SEP 2024 00:46:16	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010001954jH2425	1	120	413760530A	INT1	413760531A	2
D	02 SEP 2024 06:36:30	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009892024fF2324	1	550	413809063A	INT1	413809064A	2
D	02 SEP 2024 08:32:43	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0010185545rN2425	1	80	413811858A	INT1	413811859A	25
D	02 SEP 2024 09:46:41	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0010252407mk2425	1	80	413816964A	D2634	413816966A	25
D	02 SEP 2024 09:59:42	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010252803DL2425	1	80	413818000A	D2634	413818003A	25
D	02 SEP 2024 10:17:58	T0001	D2654	DIGITAL TELESALES (CHAT)	 	Singtel Red Voucher	0010252806kr2425	1	80	413819710A	D2567	413819713A	25
D	02 SEP 2024 10:40:14	V1650	D1688	Rigel Telecom Pte Ltd @ One Raffles Place	1012678430	Singtel Red Voucher	0010252409Jh2425	3	80	413820184A	D1688	413820185A	25
D	02 SEP 2024 10:40:59	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010252853fK2425	1	80	413821840A	D2623	413821841A	25
D	02 SEP 2024 10:55:04	V2456	D0558	Trends n Trendies Pte Ltd @ West Gate	1012678434	Singtel Rewards Voucher	0010222594gK2425	1	200	413822296A	D0558	413822297A	22
D	02 SEP 2024 10:56:53	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0010252410CY2425	1	80	413823132A	D2634	413823133A	25
D	02 SEP 2024 11:15:52	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010032549wS2425	1	120	413824965A	INT1	413824966A	2
D	02 SEP 2024 11:16:34	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0010184511Ds2425	1	80	413825023A	INT1	413825024A	25
D	02 SEP 2024 11:17:25	T0001	D2509	Singtel Shop Tampines	12901519	Singtel Voucher (XO Plus 288)	0009853778oD2425	2	500	413824497A	D2509	413824498A	26
D	02 SEP 2024 11:18:26	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12901523	Singtel Prestige Voucher	0010176042XQ2425	3	550	413824505A	D2531	413824506A	2
D	02 SEP 2024 11:26:35	T0001	D2509	Singtel Shop Tampines	12901531	Singtel Prestige Voucher	0009997445nt2425	1	170	413824733A	D2509	413824734A	2
D	02 SEP 2024 11:26:35	T0001	D2509	Singtel Shop Tampines	12901531	Singtel Red Voucher	0010252809vK2425	1	80	413824733A	D2509	413824734A	25
D	02 SEP 2024 11:27:55	V1650	D1671	Rigel Telecom Pte Ltd @ Tampines Mart (Summer Telecom)	 	Singtel Red Voucher	0010021864kC2425	1	80	413826157A	D1671	413826158A	25
D	02 SEP 2024 11:29:22	V2456	D0532	Trends n Trendies Pte Ltd @ Causeway Point	1012678463	Singtel Red Voucher	0010252812QQ2425	2	80	413824682A	D0532	413824683A	25
D	02 SEP 2024 11:38:43	V6869	D6876	ERAJAYA @ Novena Square	1012678472	Singtel Red Voucher	0010252411uM2425	1	80	413825995A	D6876	413825996A	25
