H	20240904 06:10:45	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	01 SEP 2024 12:26:03	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010253569MT2425	1	80	413684827A	D2623	413684828A	25
D	01 SEP 2024 14:46:58	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010252811Vk2425	1	80	413698509A	D2623	413698510A	25
D	01 SEP 2024 19:58:22	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010253615oV2425	1	80	413727270A	D2561	413727272A	25
D	02 SEP 2024 13:43:00	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010252913OL2425	1	80	413840294A	D2561	413840296A	25
D	02 SEP 2024 15:37:32	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010252863Sy2425	1	80	413852106A	D2634	413852109A	25
D	03 SEP 2024 00:24:24	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010129011OK2425	1	170	413912748A	INT1	413912749A	2
D	03 SEP 2024 00:24:24	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0010131543Lz2425	1	80	413912748A	INT1	413912749A	25
D	03 SEP 2024 05:45:42	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009581570My2324	1	80	414002920A	INT1	414002921A	25
D	03 SEP 2024 08:23:53	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010253552cg2425	1	80	414046201A	D2606	414046202A	25
D	03 SEP 2024 09:30:11	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010253034iM2425	1	80	414056105A	D2606	414056106A	25
D	03 SEP 2024 09:30:40	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010253035ML2425	1	80	414056134A	D2634	414056137A	25
D	03 SEP 2024 09:34:17	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010253036Qi2425	1	80	414056358A	D2634	414056361A	25
D	03 SEP 2024 09:54:33	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010253558Ci2425	1	80	414057722A	D2634	414057824A	25
D	03 SEP 2024 09:58:28	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010253555Xb2425	1	80	414058113A	D2623	414058115A	25
D	03 SEP 2024 10:06:21	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0010253562ls2425	1	80	414058890A	D2634	414058891A	25
D	03 SEP 2024 10:35:08	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010253566os2425	1	80	414061168A	D2606	414061170A	25
D	03 SEP 2024 10:36:12	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010253565Br2425	1	80	414061238A	D2634	414061239A	25
D	03 SEP 2024 11:08:32	V2456	D0556	Trends n Trendies Pte Ltd @ Chinatown Point	1012679034	Singtel Red Voucher	0009829468Aj2324	1	80	414063774A	D0556	414063775A	25
D	03 SEP 2024 11:12:27	V1650	D1680	Rigel Telecom Pte Ltd @ Bedok Mall	1012679035	Singtel Rewards Voucher	0010220538gt2425	2	200	414063801A	D1680	414063802A	22
D	03 SEP 2024 11:13:46	V2456	D0554	Trends n Trendies Pte Ltd @ Tampines One	1012679037	Singtel Red Voucher	0010253038DI2425	2	80	414062827A	D0554	414062828A	25
D	03 SEP 2024 11:19:41	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010253039qO2425	1	80	414065602A	D2606	414065604A	25
D	03 SEP 2024 11:20:12	V2456	D0595	Trends n Trendies Pte Ltd @ Raffles City	1012679047	Singtel Rewards Voucher	0010210739Je2425	2	200	414063792A	D0595	414063793A	22
D	03 SEP 2024 11:23:13	T0001	D2511	Singtel Shop Bugis Junction	12902235	Singtel Rewards Voucher	0010201679TD2425	1	150	414064981A	D2511	414064982A	22
D	03 SEP 2024 11:23:53	T0001	D2509	Singtel Shop Tampines	12902236	Singtel Red Voucher	0010253571Sr2425	3	80	414065046A	D2509	414065047A	25
D	03 SEP 2024 11:27:46	T0001	D2509	Singtel Shop Tampines	12902243	Singtel Red Voucher	0010253574Vb2425	4	80	414065599A	D2509	414065600A	25
D	03 SEP 2024 11:31:33	T0001	D2512	Singtel Shop 313@somerset	12902246	Singtel-UOB Voucher	0009818050Xl2324	2	100	414065906A	D2512	414065907A	20
D	03 SEP 2024 11:38:11	V2456	D0533	Trends n Trendies Pte Ltd @ Bukit Panjang Plaza	1012679059	Singtel Red Voucher	0010253043gp2425	5	80	414065674A	D0533	414065675A	25
D	03 SEP 2024 11:39:52	V2456	D0558	Trends n Trendies Pte Ltd @ West Gate	1012679062	Singtel Rewards Voucher	0010233262mE2425	1	200	414065289A	D0558	414065290A	22
D	03 SEP 2024 11:49:31	V1638	D0666	Novel Communications @ Parkway Parade	1012679072	Singtel Rewards Voucher	0010215414Dq2425	1	200	414067506A	D0666	414067507A	22
D	03 SEP 2024 12:00:35	V6869	D6876	ERAJAYA @ Novena Square	1012679081	Singtel Red Voucher	0010253586cf2425	3	80	414068103A	D6876	414068104A	25
D	03 SEP 2024 12:06:39	T0001	D2509	Singtel Shop Tampines	12902288	Singtel Prestige Voucher	0009631262jt2324	1	120		D2509		2
D	03 SEP 2024 12:08:44	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010253576nU2425	1	80	414070920A	D2606	414070922A	25
D	03 SEP 2024 12:08:52	T0001	D2506	Singtel Shop Causeway Point	12902286	Singtel Red Voucher	0010038319cc2425	7	80	414069972A	D2506	414069973A	25
