H	20240228 06:21:34	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	26 FEB 2024 13:07:10	T0001	D2592	DIGITAL TELESALES (ONLINE ASSISTED)	 	Singtel Prestige Voucher	0009849235Aj2324	1	170	383199722A	D2567	383199723A	2
D	26 FEB 2024 13:07:10	T0001	D2592	DIGITAL TELESALES (ONLINE ASSISTED)	 	Singtel Voucher (Combo 12)	0009319341Qg2324	1	500	383199722A	D2567	383199723A	21
D	27 FEB 2024 00:29:08	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009904142eU2324	1	150	383265838A	INT1	383265839A	22
D	27 FEB 2024 00:39:59	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009142841sp2223	1	120	383268271A	INT1	383268272A	2
D	27 FEB 2024 06:06:19	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009921147jD2324	1	150	383310249A	INT1	383310250A	22
D	27 FEB 2024 07:43:53	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009950101QL2324	1	80	383312311A	D2623	383312313A	25
D	27 FEB 2024 08:59:28	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Prestige Voucher	0009631522Bl2324	1	170	383315430A	D2634	383315431A	2
D	27 FEB 2024 08:59:28	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Voucher (Combo 12)	0009183229aF2324	1	500	383315430A	D2634	383315431A	21
D	27 FEB 2024 09:00:17	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009537069Sb2324	1	80	383315495A	INT1	383315496A	25
D	27 FEB 2024 09:43:18	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009930617ql2324	1	150	383318666A	INT1	383318667A	22
D	27 FEB 2024 09:58:40	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009895293ml2324	1	120	383319607A	INT1	383319608A	2
D	27 FEB 2024 09:58:40	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009114941Rq2223	1	80	383319607A	INT1	383319608A	25
D	27 FEB 2024 10:21:40	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0009950768eK2324	1	80	383321399A	D2623	383321402A	25
D	27 FEB 2024 10:33:05	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0009950091dL2324	1	80	383322392A	D2634	383322394A	25
D	27 FEB 2024 10:50:25	V2456	D0556	Trends n Trendies Pte Ltd @ Chinatown Point	1012515144	Singtel Rewards Voucher	0009926525xU2324	2	150	383323010A	D0556	383323011A	22
D	27 FEB 2024 10:54:46	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12753464	Singtel Red Voucher	0009948272gl2324	8	80		D2531		25
D	27 FEB 2024 10:58:55	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009104100sJ2223	1	120	383324425A	INT1	383324426A	2
D	27 FEB 2024 11:04:06	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009927565bc2324	1	150	383324981A	INT1	383324982A	22
D	27 FEB 2024 11:04:45	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009849488ht2324	1	120	383325044A	INT1	383325045A	2
D	27 FEB 2024 11:04:45	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009555956os2324	1	80	383325044A	INT1	383325045A	25
D	27 FEB 2024 11:10:07	T0001	D2502	CON OPS MOBILE PREMIUM (ESHOP)	 	Singtel Rewards Voucher	0009926919Lw2324	1	150	383325610A	DMPCC	383325611A	22
D	27 FEB 2024 11:15:26	V1650	D1658	Rigel Telecom Pte Ltd @ NEX	 	Singtel Rewards Voucher	0009905139Xd2324	1	150	383326093A	D1658	383326094A	22
D	27 FEB 2024 11:17:43	T0001	D2509	Singtel Shop Tampines	12753478	Singtel Red Voucher	0009950770dc2324	3	80	383325318A	D2509	383325319A	25
D	27 FEB 2024 11:22:43	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0009950773fw2324	1	80	383326773A	D2634	383326774A	25
D	27 FEB 2024 11:23:55	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12753483	Singtel Red Voucher	0009950769gP2324	4	80	383325878A	D2531	383325879A	25
D	27 FEB 2024 11:26:13	T0001	D2509	Singtel Shop Tampines	12753485	Singtel Rewards Voucher	0009904513wr2324	2	150	383326212A	D2509	383326213A	22
D	27 FEB 2024 11:27:09	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12753488	Singtel Rewards Voucher	0009921525Kl2324	4	150	383326704A	D2531	383326705A	22
D	27 FEB 2024 11:30:20	T0001	D2519	Eshop Delivery	 	Singtel Rewards Voucher	0009928698pF2324	1	150	383327662A	INT1	383327663A	22
D	27 FEB 2024 11:35:01	T0001	D2511	Singtel Shop Bugis Junction	12753501	Singtel Voucher (SIM Only)	0009795759GT2324	1	100		D2511		24
D	27 FEB 2024 11:35:01	T0001	D2511	Singtel Shop Bugis Junction	12753501	Singtel-UOB Voucher	0009898024fS2324	1	300		D2511		20
D	27 FEB 2024 11:35:42	V1638	D0689	Novel Communication @ Clementi Mall	1012515181	Singtel Rewards Voucher	0009919778JP2324	3	150	383326182A	D0689	383326183A	22
