H	20240727 06:16:06	VoucherInfo	T
Record Type	Date	Vendor Code	Dealer Code	Dealer Name	Receipt no	Type	Voucher No	Quantity	Value	Order ID	Primary Dealer ID	Order Action ID	Voucher Type ID
D	25 JUL 2024 14:40:49	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010167758nO2425	1	80	406639813A	D2634	406639816A	25
D	25 JUL 2024 14:45:40	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010167740mB2425	1	80	406640212A	D2623	406640213A	25
D	25 JUL 2024 17:03:12	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010167757vD2425	1	80	406653801A	D2623	406653804A	25
D	25 JUL 2024 20:06:21	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010167771wL2425	1	80	406673043A	D2623	406673046A	25
D	26 JUL 2024 09:20:52	Vwebcht	DwebchtL	CustCare Hotline WebChat	 	Singtel Red Voucher	0010168635Lf2425	1	80	406829216A	DwebchtL	406829219A	25
D	26 JUL 2024 09:32:15	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010168919dU2425	1	80	406831536A	D2634	406831539A	25
D	26 JUL 2024 09:41:22	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010168920vI2425	1	80	406832960A	D2606	406832963A	25
D	26 JUL 2024 09:43:46	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0010099162oP2425	1	120	406833380A	INT1	406833381A	2
D	26 JUL 2024 09:53:13	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010168921pA2425	1	80	406835291A	D2606	406835294A	25
D	26 JUL 2024 10:04:37	T0001	D2634	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 1)	 	Singtel Red Voucher	0010168922yG2425	1	80	406837540A	D2634	406837542A	25
D	26 JUL 2024 10:05:24	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010168923wu2425	1	80	406837609A	D2623	406837610A	25
D	26 JUL 2024 10:37:13	V6869	D6878	ERAJAYA @ CIS Roadshow	1012654499	Singtel Red Voucher	0009529911qU2324	3	80	406841143A	D6878	406841144A	25
D	26 JUL 2024 10:42:27	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010168925GO2425	1	80	406845297A	D2606	406845300A	25
D	26 JUL 2024 10:59:48	T0001	D2509	Singtel Shop Tampines	12873840	Singtel Prestige Voucher	0010097813wi2425	4	120		D2509		2
D	26 JUL 2024 11:04:02	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010168943uF2425	1	80	406847580A	D2634	406847584A	25
D	26 JUL 2024 11:07:44	T0001	D2519	Eshop Delivery	 	Singtel Prestige Voucher	0009894461Ic2324	1	550	406847924A	INT1	406847925A	2
D	26 JUL 2024 11:08:06	V1650	D1678	Polaris Telecom Pte Ltd @ Yishun Junction 9 (Call Mobile Pte	1012654519	Singtel Prestige Voucher	0010094900qe2425	5	120		D1678		2
D	26 JUL 2024 11:26:15	V2456	D0532	Trends n Trendies Pte Ltd @ Causeway Point	1012654554	Singtel Prestige Voucher	0010127975Ee2425	5	120		D0532		2
D	26 JUL 2024 11:26:15	V2456	D0532	Trends n Trendies Pte Ltd @ Causeway Point	1012654554	Singtel Red Voucher	0009964661ZV2425	5	80		D0532		25
D	26 JUL 2024 11:28:51	V2456	D0556	Trends n Trendies Pte Ltd @ Chinatown Point	1012654563	Singtel Voucher (SIM Only)	0009983139yu2425	1	100		D0556		24
D	26 JUL 2024 11:33:01	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010168928MH2425	1	80	406853836A	D2634	406853839A	25
D	26 JUL 2024 11:36:08	T0001	D2531	Singtel Shop Ang Mo Kio Hub	12873875	Singtel Prestige Voucher	0009891737tj2324	1	120		D2531		2
D	26 JUL 2024 11:39:36	T0001	D2616	DIGITAL TELESALES (ONLINE ASSISTED INBOUND)	 	Singtel Red Voucher	0010168929qX2425	1	80	406854890A	D2606	406854892A	25
D	26 JUL 2024 11:45:26	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010167764tv2425	1	80	406855600A	D2623	406855602A	25
D	26 JUL 2024 11:46:50	V1638	D0689	Novel Communication @ Clementi Mall	 	Singtel Red Voucher	0010168930qL2425	1	80	406855736A	D0698	406855737A	25
D	26 JUL 2024 11:49:21	T0001	D2509	Singtel Shop Tampines	12873882	Singtel Prestige Voucher	0009998709bG2425	3	170	406855216A	D2509	406855217A	2
D	26 JUL 2024 11:49:21	T0001	D2509	Singtel Shop Tampines	12873882	Singtel Red Voucher	0010168927Si2425	3	80	406855216A	D2509	406855217A	25
D	26 JUL 2024 11:51:25	T0001	D2509	Singtel Shop Tampines Mall	 	Singtel Red Voucher	0009851840Dl2324	1	80	406856448A	D2509	406856449A	25
D	26 JUL 2024 12:16:05	T0001	D2511	Singtel Shop Bugis Junction	 	Singtel Red Voucher	0010168935pG2425	1	80	406859119A	D2511	406859124A	25
D	26 JUL 2024 12:20:54	T0001	D2506	Singtel Shop Causeway Point	12873903	Singtel Red Voucher	0010168933af2425	2	80	406858872A	D2506	406858873A	25
D	26 JUL 2024 12:21:26	V1650	D1688	Rigel Telecom Pte Ltd @ One Raffles Place	1012654624	Singtel Red Voucher	0010168932Qx2425	1	80	406858884A	D1688	406858885A	25
D	26 JUL 2024 12:23:08	V6869	D6880	ERAJAYA @ Great World City	1012654625	Singtel Prestige Voucher	0010029935qW2425	1	120	406859093A	D6880	406859094A	2
D	26 JUL 2024 12:29:14	T0001	D2638	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 5)	 	Singtel Red Voucher	0010168934OH2425	1	80	406861011A	D2634	406861014A	25
D	26 JUL 2024 12:32:09	T0001	D2519	Eshop Delivery	 	Singtel Red Voucher	0009547905VL2324	1	80	406861487A	INT1	406861488A	25
D	26 JUL 2024 12:32:35	T0001	D2635	DIGITAL TELESALES (KCC SUDONG INBOUND TEAM 2)	 	Singtel Red Voucher	0009352678Wp2324	1	80	406861544A	D2634	406861545A	25
D	26 JUL 2024 12:33:52	V1638	D0689	Novel Communication @ Clementi Mall	1012654644	Singtel Prestige Voucher	0009895096AV2324	2	120	406858420A	D0689	406858421A	2
D	26 JUL 2024 12:33:52	V1638	D0689	Novel Communication @ Clementi Mall	1012654644	Singtel Red Voucher	0010168941Fz2425	2	80	406858420A	D0689	406858421A	25
D	26 JUL 2024 12:39:32	V6869	D6879	ERAJAYA @ PAYA LEBAR QUARTER	1012654648	Singtel Red Voucher	0010136289SS2425	3	80	406860380A	D6879	406860381A	25
D	26 JUL 2024 12:49:12	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010168950ZL2425	1	80	406863298A	D2623	406863299A	25
D	26 JUL 2024 12:56:39	V6869	D6875	ERAJAYA @ Plaza Singapura - D6875	1012654660	Singtel Red Voucher	0010168936zw2425	4	80	406863236A	D6875	406863237A	25
D	26 JUL 2024 12:58:32	T0001	D2512	Singtel Shop 313@somerset	12873946	Singtel Prestige Voucher	0009137659cx2223	3	120	406863708A	D2512	406863709A	2
D	26 JUL 2024 13:05:17	V1453	D0423	3 Mobile - Harbourfront Centre Level 2 - D0423	1012654665	Singtel Red Voucher	0010168937ev2425	2	80	406864275A	D0423	406864276A	25
D	26 JUL 2024 13:05:54	V1638	D0689	Novel Communication @ Clementi Mall	1012654667	Singtel Red Voucher	0010168940CD2425	2	80	406863885A	D0689	406863886A	25
D	26 JUL 2024 13:06:37	V1650	D1658	Polaris Telecom Pte Ltd @ NEX	1012654671	Singtel Voucher (XO Plus 288)	0009984842PJ2425	1	500		D1658		26
D	26 JUL 2024 13:22:02	V1453	D0345	3 Mobile @ Compass One	1012654686	Singtel-UOB Voucher	0009640475IJ2324	3	100	406866387A	D0345	406866388A	20
D	26 JUL 2024 13:22:29	T0001	D2533	Singtel Shop Jurong Point	 	Singtel Red Voucher	0010168939ze2425	1	80	406867098A	D2533	406867099A	25
D	26 JUL 2024 13:23:51	V1638	D0666	Novel Communications @ Parkway Parade	1012654699	Singtel Red Voucher	0010168938cX2425	4	80	406864638A	D0666	406864639A	25
D	26 JUL 2024 13:28:28	T0001	D2623	Digital Sales Online Liveperson	 	Singtel Red Voucher	0010168942mT2425	1	80	406867857A	D2623	406867858A	25
